name,datetime,department_id,job_id
Timothy Wells,2019-03-05 12:28:15.102957,5,8
Timothy Ford,2021-05-04 23:26:23.503890,8,10
Jennifer Simpson,1971-11-15 02:43:39.392676,2,8
Shelly Foster,2018-06-20 15:45:27.495147,8,9
Chad Obrien,1999-04-14 14:00:45.502492,9,7
Laura Gonzalez,2018-11-10 20:40:01.472381,2,8
Erica Chang,2015-05-01 11:43:31.462193,1,9
Frank Horton,2009-11-15 17:01:13.764615,10,6
Angela Harris,2001-08-26 11:47:20.780172,2,1
Shane Cruz,1999-02-03 13:02:02.983654,10,4
Larry Diaz,1976-11-30 02:21:21.427677,7,2
Donald Wright,2022-08-13 12:42:20.282820,4,8
Geoffrey Strong,2011-01-25 21:16:53.543512,7,8
James Ortiz,1981-01-29 08:34:30.053595,2,9
Joanna Flores,2022-08-26 05:29:00.741248,2,9
Ryan Stuart,1978-09-22 05:52:51.916609,3,6
Melanie Clark,1996-12-18 22:13:28.634334,1,3
Jeffrey Contreras,1990-08-18 05:21:20.381750,3,6
Luis Campbell,1998-05-24 19:25:00.393636,1,3
Bryce Smith,2004-06-13 15:49:21.066622,1,3
Tamara Brewer,1988-05-20 22:34:53.842709,6,8
Lisa Vazquez,2017-08-04 10:07:57.888879,4,2
Garrett Guerra,1976-07-10 10:16:17.516891,5,1
Timothy Salinas,1975-03-04 14:28:06.693040,7,8
Karen Jackson,2015-12-11 09:13:27.263399,2,9
Robert Jones,1984-06-03 09:33:16.823408,1,10
Charles White,1996-07-24 00:54:01.298638,5,4
Veronica Duffy,2018-01-13 06:50:46.077484,6,1
Tiffany Park,2008-07-21 05:04:59.755514,1,6
Michael Thompson,1983-12-31 09:33:49.973191,3,3
John Miller,2012-02-16 02:18:24.239632,7,2
Emily Richards,1982-11-25 17:14:50.137395,4,2
Juan Juarez,1995-11-02 19:43:13.319300,3,7
Justin Dixon,2011-05-03 22:47:11.761788,3,7
Dana Davis,2022-06-13 17:24:11.971696,6,4
Mary Anderson,2005-07-09 18:27:02.692052,7,8
Johnny Taylor,2006-02-25 21:30:57.128351,6,2
Rick Doyle,2010-06-01 17:31:04.562781,10,5
Brandon Mitchell,1981-03-19 07:48:03.142090,1,9
Jonathan Travis,2021-05-09 10:12:25.940181,4,5
Patrick Jordan,1972-03-31 19:12:54.320256,4,7
Anthony Blankenship,1983-02-19 12:54:00.280003,5,3
Wayne Pruitt,1993-07-23 17:09:48.828647,2,2
Shawn Lawson,2001-05-29 06:31:59.818703,4,6
Dr. Katherine Weaver,2004-04-05 03:51:04.270859,3,10
Alexandra Brown,2001-04-13 11:59:55.054173,8,4
Steven Williamson,2016-11-23 18:21:00.530282,9,8
Sean Davis,2010-03-05 11:08:38.478921,8,7
Christy Sutton MD,2008-07-11 18:28:11.056873,1,8
Kenneth Farrell,2004-09-21 01:32:19.333596,6,7
Monica Lester,1995-10-07 02:07:18.771753,2,10
Stephen Holmes,1985-02-01 17:19:48.643070,6,5
Michael Mcmahon,2007-09-11 17:04:47.705343,5,2
Cassandra Nichols,1976-09-16 06:27:40.351814,2,1
John Phelps,1983-12-08 01:27:44.776186,1,6
Steven Smith,2020-07-13 15:31:49.129241,2,9
Heidi Smith,1982-08-24 02:43:53.819549,1,3
Rebecca Walker,1977-01-14 03:03:54.588856,6,10
Benjamin Douglas,2014-08-01 19:39:02.982649,1,2
Emily Daugherty,1991-01-25 18:34:56.292442,9,8
Sharon Ramos,2018-09-23 08:21:54.203703,7,6
William Hill,2019-05-09 10:09:22.114752,7,6
Christina Boone,1989-07-12 02:29:22.912196,5,7
Michelle Robinson,2020-02-23 00:46:15.581307,2,3
Katherine Kerr,2023-04-23 18:29:31.047147,8,6
Eric Murphy,1989-03-08 23:29:10.950891,6,2
Sandra Warner,2019-03-18 17:00:16.431850,9,6
Jerry Brown,1999-04-22 21:23:06.192292,7,7
Phillip Reyes,2018-03-30 00:30:43.579674,2,4
Tanner Ford,1983-06-08 19:41:00.746409,2,1
David Parker,1979-01-29 14:44:51.846887,7,10
Lynn Roy,2014-07-09 22:43:55.730559,6,6
Patty Raymond,1978-12-26 01:44:08.313273,10,4
Stephanie Juarez,1994-07-24 15:38:05.209749,2,7
Anthony Burgess,1986-04-13 09:40:17.192838,10,9
Jennifer Kline,2013-08-12 08:01:39.443562,3,3
Alyssa Waters,1999-08-01 18:47:08.467695,2,8
Joseph Adkins,1985-04-22 09:34:36.831763,3,10
Lisa Beck,1996-11-11 15:16:21.420259,6,9
Anthony Clark,2018-02-24 12:51:02.947664,2,4
